Time(s),State,RelAlt(m),Compass_Hdg(deg),EKF_X,EKF_Y,EKF_Z,ZED_X,ZED_Y,ZED_Z,IMU_AccX,IMU_AccY,IMU_AccZ
1787043084.12,SURFACING_AND_LOGGING,-0.08,49.44,0.68,0.49,-0.06,-1.13,0.64,-0.84,-0.15,-1.03,9.77
1787043084.22,SURFACING_AND_LOGGING,-0.08,49.44,0.68,0.49,-0.06,-1.13,0.64,-0.84,-0.15,-1.03,9.77
1787043084.32,SURFACING_AND_LOGGING,-0.07,49.30,0.68,0.48,-0.06,-1.14,0.65,-0.84,-0.13,-1.06,9.74
1787043084.42,SURFACING_AND_LOGGING,-0.07,49.30,0.68,0.48,-0.06,-1.13,0.66,-0.84,-0.13,-1.06,9.74
1787043084.52,SURFACING_AND_LOGGING,-0.08,49.41,0.68,0.48,-0.06,-1.14,0.67,-0.85,-0.12,-1.06,9.73
1787043084.62,SURFACING_AND_LOGGING,-0.08,49.41,0.68,0.48,-0.06,-1.14,0.67,-0.85,-0.12,-1.06,9.73
1787043084.72,SURFACING_AND_LOGGING,-0.08,49.41,0.68,0.48,-0.06,-1.14,0.68,-0.86,-0.12,-1.06,9.73
1787043084.82,SURFACING_AND_LOGGING,-0.08,49.44,0.67,0.48,-0.06,-1.14,0.67,-0.85,-0.10,-1.04,9.74
1787043084.92,SURFACING_AND_LOGGING,-0.08,49.44,0.67,0.48,-0.06,-1.15,0.68,-0.86,-0.10,-1.04,9.74
1787043085.02,SURFACING_AND_LOGGING,-0.08,49.57,0.66,0.48,-0.06,-1.15,0.69,-0.86,-0.11,-1.01,9.76
1787043085.12,SURFACING_AND_LOGGING,-0.08,49.57,0.66,0.48,-0.06,-1.15,0.70,-0.87,-0.11,-1.01,9.76
1787043085.22,SURFACING_AND_LOGGING,-0.08,49.57,0.66,0.48,-0.06,-1.16,0.71,-0.88,-0.11,-1.01,9.76
1787043085.32,SURFACING_AND_LOGGING,-0.08,49.75,0.64,0.48,-0.07,-1.16,0.72,-0.88,-0.12,-0.99,9.76
1787043085.42,SURFACING_AND_LOGGING,-0.08,49.75,0.64,0.48,-0.07,-1.16,0.72,-0.89,-0.12,-0.99,9.76
1787043085.52,SURFACING_AND_LOGGING,-0.07,49.91,0.63,0.49,-0.07,-1.17,0.72,-0.89,-0.13,-1.00,9.75
1787043085.62,SURFACING_AND_LOGGING,-0.07,49.91,0.63,0.49,-0.07,-1.17,0.74,-0.89,-0.13,-1.00,9.75
1787043085.72,SURFACING_AND_LOGGING,-0.07,49.91,0.63,0.49,-0.07,-1.17,0.73,-0.88,-0.13,-1.00,9.75
1787043085.82,SURFACING_AND_LOGGING,-0.08,50.09,0.61,0.51,-0.07,-1.17,0.73,-0.89,-0.12,-1.01,9.74
1787043085.92,SURFACING_AND_LOGGING,-0.08,50.09,0.61,0.51,-0.07,-1.17,0.73,-0.89,-0.12,-1.01,9.74
1787043086.02,SURFACING_AND_LOGGING,-0.07,50.34,0.60,0.52,-0.07,-1.18,0.74,-0.90,-0.10,-1.04,9.75
1787043086.12,SURFACING_AND_LOGGING,-0.07,50.34,0.60,0.52,-0.07,-1.18,0.74,-0.90,-0.10,-1.04,9.75
1787043086.22,SURFACING_AND_LOGGING,-0.07,50.34,0.60,0.52,-0.07,-1.18,0.75,-0.91,-0.10,-1.04,9.75
1787043086.32,SURFACING_AND_LOGGING,-0.08,50.55,0.58,0.53,-0.07,-1.19,0.76,-0.92,-0.10,-1.04,9.74
1787043086.42,SURFACING_AND_LOGGING,-0.08,50.55,0.58,0.53,-0.07,-1.19,0.76,-0.92,-0.10,-1.04,9.74
1787043086.52,SURFACING_AND_LOGGING,-0.08,50.76,0.57,0.54,-0.07,-1.20,0.76,-0.93,-0.10,-1.05,9.76
1787043086.62,SURFACING_AND_LOGGING,-0.08,50.76,0.57,0.54,-0.07,-1.20,0.75,-0.93,-0.10,-1.05,9.76
1787043086.72,SURFACING_AND_LOGGING,-0.08,50.76,0.57,0.54,-0.07,-1.20,0.75,-0.93,-0.10,-1.05,9.76
1787043086.82,SURFACING_AND_LOGGING,-0.08,50.95,0.57,0.56,-0.07,-1.21,0.74,-0.93,-0.12,-1.05,9.75
1787043086.92,SURFACING_AND_LOGGING,-0.08,50.95,0.57,0.56,-0.07,-1.20,0.77,-0.94,-0.12,-1.05,9.75
1787043087.02,SURFACING_AND_LOGGING,-0.08,51.16,0.56,0.57,-0.07,-1.20,0.77,-0.94,-0.12,-1.04,9.74
1787043087.12,SURFACING_AND_LOGGING,-0.08,51.16,0.56,0.57,-0.07,-1.20,0.78,-0.92,-0.12,-1.04,9.74
1787043087.22,SURFACING_AND_LOGGING,-0.08,51.16,0.56,0.57,-0.07,-1.20,0.78,-0.92,-0.12,-1.04,9.74
1787043087.32,SURFACING_AND_LOGGING,-0.07,51.42,0.56,0.58,-0.07,-1.21,0.81,-0.94,-0.11,-1.04,9.74
1787043087.42,SURFACING_AND_LOGGING,-0.07,51.42,0.56,0.58,-0.07,-1.21,0.81,-0.95,-0.11,-1.04,9.74
1787043087.52,SURFACING_AND_LOGGING,-0.09,51.59,0.55,0.59,-0.07,-1.23,0.78,-0.96,-0.10,-1.04,9.75
