timestamp,state,wp_idx,heading_deg,target_heading_deg,rel_alt,vfr_alt,fwd_pwm,yaw_pwm,duration_left,zed_x,zed_y,zed_yaw_deg,cube_ax,cube_ay,cube_az,cube_gx,cube_gy,cube_gz,zed_ax,zed_ay,zed_az,zed_gx,zed_gy,zed_gz,ekf_x,ekf_y,ekf_z,ekf_yaw_deg,zed_fps,zed_diag
1787113073.378,ARMING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.713,-1.677,46.44,0.245,-1.677,9.650,0.000,-0.000,-0.000,-9.654,-1.744,0.320,0.002,0.000,-0.000,0.000,0.000,0.000,0.00,0.0,OK
1787113073.428,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.711,-1.674,46.35,0.245,-1.677,9.650,0.000,-0.000,-0.000,-9.637,-1.732,0.333,-0.002,0.001,-0.000,0.000,0.000,0.000,0.00,0.0,OK
1787113073.479,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.707,-1.673,46.68,0.245,-1.677,9.650,0.000,-0.000,-0.000,-9.635,-1.744,0.342,0.001,-0.000,0.001,0.000,0.000,0.000,0.00,0.0,OK
1787113073.528,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.707,-1.673,46.68,0.245,-1.677,9.650,0.000,-0.000,-0.000,-9.640,-1.725,0.333,0.002,-0.001,0.000,0.000,0.000,0.000,0.00,0.0,OK
1787113073.578,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.705,-1.674,47.01,0.245,-1.677,9.650,0.000,-0.000,-0.000,-9.640,-1.710,0.330,0.001,0.000,-0.001,0.000,0.000,0.000,0.00,0.0,OK
1787113073.628,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.702,-1.674,47.31,0.245,-1.677,9.650,0.000,-0.000,-0.000,-9.635,-1.727,0.330,0.002,-0.000,-0.001,0.000,0.000,0.000,0.00,0.0,OK
1787113073.678,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.704,-1.675,47.31,0.245,-1.677,9.650,0.000,-0.000,-0.000,-9.638,-1.744,0.328,0.001,0.001,0.001,0.000,0.000,0.000,0.00,0.0,OK
1787113073.728,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.704,-1.675,47.31,0.245,-1.677,9.650,0.000,-0.000,-0.000,-9.650,-1.744,0.342,-0.002,0.001,0.001,0.000,0.000,0.000,0.00,0.0,OK
1787113073.778,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.706,-1.674,47.39,0.245,-1.677,9.650,0.000,-0.000,-0.000,-9.640,-1.724,0.330,0.000,-0.002,-0.002,0.000,0.000,0.000,0.00,0.0,OK
1787113073.828,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.708,-1.671,47.45,0.245,-1.677,9.650,0.000,-0.000,-0.000,-9.649,-1.739,0.330,0.002,-0.001,-0.001,0.000,0.000,0.000,0.00,0.0,OK
1787113073.878,DIVING,0,341.00,21.61,-0.10,-0.23,1500,1500,0.00,-1.708,-1.671,47.45,0.245,-1.667,9.650,0.000,-0.000,-0.000,-9.645,-1.729,0.335,0.001,-0.000,-0.000,0.000,0.000,0.000,0.00,0.0,OK
1787113073.928,DIVING,0,341.00,21.61,-0.10,-0.23,1500,1500,0.00,-1.708,-1.671,47.45,0.245,-1.667,9.650,0.000,-0.000,-0.000,-9.635,-1.727,0.337,0.000,-0.002,-0.001,0.000,0.000,0.000,0.00,0.0,OK
1787113073.978,DIVING,0,341.00,21.61,-0.10,-0.23,1500,1500,0.00,-1.715,-1.662,46.97,0.245,-1.667,9.650,0.000,-0.000,-0.000,-9.633,-1.717,0.321,-0.001,0.002,-0.000,0.000,0.000,0.000,0.00,0.0,OK
1787113074.028,DIVING,0,341.00,21.61,-0.10,-0.23,1500,1500,0.00,-1.717,-1.649,47.01,0.245,-1.667,9.650,0.000,-0.000,-0.000,-9.683,-1.737,0.311,-0.000,-0.001,-0.006,0.000,0.000,0.000,0.00,24.9,OK
1787113074.078,DIVING,0,341.00,21.61,-0.10,-0.23,1500,1500,0.00,-1.718,-1.647,47.03,0.245,-1.667,9.650,0.000,-0.000,-0.000,-9.528,-1.580,0.316,-0.005,-0.001,0.016,0.000,0.000,0.000,0.00,24.9,OK
1787113074.128,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.718,-1.647,47.03,0.245,-1.677,9.650,0.013,0.000,0.003,-9.611,-1.650,0.316,-0.005,-0.000,0.034,0.000,0.000,0.000,0.00,24.9,OK
1787113074.178,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.719,-1.633,47.10,0.245,-1.677,9.650,0.013,0.000,0.003,-9.315,-1.381,0.345,-0.023,-0.007,0.228,0.000,0.000,0.000,0.00,24.9,OK
1787113074.228,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.726,-1.624,47.11,0.245,-1.677,9.650,0.013,0.000,0.003,-9.382,-1.881,0.316,-0.054,-0.013,0.461,0.000,0.000,0.000,0.00,24.9,OK
1787113074.279,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.727,-1.624,47.10,0.245,-1.677,9.650,0.013,0.000,0.003,-9.595,-1.353,0.335,-0.054,0.007,0.611,0.000,0.000,0.000,0.00,24.9,OK
1787113074.329,DIVING,0,341.00,21.61,-0.09,-0.23,1500,1500,0.00,-1.727,-1.624,47.10,0.245,-1.677,9.650,0.013,0.000,0.003,-9.676,-1.012,0.354,-0.053,0.021,0.645,0.000,0.000,0.000,0.00,24.9,OK
1787113074.378,DIVING,0,340.00,21.61,-0.10,-0.23,1500,1500,0.00,-1.727,-1.624,47.10,0.235,-1.559,9.522,0.644,0.023,0.061,-9.788,-0.817,0.351,-0.045,0.026,0.641,0.000,0.000,0.000,0.00,24.9,OK
1787113074.428,DIVING,0,340.00,21.61,-0.10,-0.23,1500,1500,0.00,-1.727,-1.624,47.10,0.235,-1.559,9.522,0.644,0.023,0.061,-9.788,-0.375,0.356,-0.042,0.026,0.571,0.000,0.000,0.000,0.00,24.9,OK
1787113074.478,DIVING,0,340.00,21.61,-0.10,-0.23,1500,1500,0.00,-1.727,-1.624,47.10,0.235,-1.559,9.522,0.644,0.023,0.061,-9.649,-0.122,0.304,-0.019,0.014,0.423,0.000,0.000,0.000,0.00,24.9,OK
1787113074.528,DIVING,0,340.00,21.61,-0.10,-0.23,1500,1500,0.00,-1.727,-1.624,47.10,0.235,-1.559,9.522,0.644,0.023,0.061,-9.809,0.278,0.330,-0.009,-0.008,0.313,0.000,0.000,0.000,0.00,24.9,OK
1787113074.578,DIVING,0,340.00,21.61,-0.10,-0.23,1500,1500,0.00,-1.727,-1.624,47.10,0.235,-1.559,9.522,0.644,0.023,0.061,-9.712,0.434,0.335,-0.020,-0.009,0.244,0.000,0.000,0.000,0.00,24.9,OK
1787113074.628,DIVING,0,340.00,21.61,-0.11,-0.23,1500,1500,0.00,-1.727,-1.624,47.10,0.284,-0.922,9.718,0.232,-0.003,0.023,-9.626,0.476,0.306,-0.029,0.016,0.161,0.000,0.000,0.000,0.00,24.9,OK
1787113074.678,DIVING,0,340.00,21.61,-0.11,-0.23,1500,1500,0.00,-1.727,-1.624,47.10,0.284,-0.922,9.718,0.232,-0.003,0.023,-9.766,0.479,0.294,-0.043,0.027,0.116,0.000,0.000,0.000,0.00,24.9,OK
1787113074.729,DIVING,0,340.00,21.61,-0.11,-0.23,1500,1500,0.00,-1.733,-1.630,45.82,0.284,-0.922,9.718,0.232,-0.003,0.023,-9.738,0.508,0.272,-0.067,0.037,0.074,0.000,0.000,0.000,0.00,24.9,OK
1787113074.778,DIVING,0,340.00,21.61,-0.11,-0.23,1500,1500,0.00,-1.736,-1.633,45.80,0.284,-0.922,9.718,0.232,-0.003,0.023,-9.688,0.485,0.261,-0.076,0.051,-0.004,0.000,0.000,0.000,0.00,24.9,OK
1787113074.828,DIVING,0,340.00,21.61,-0.11,-0.23,1500,1500,0.00,-1.735,-1.635,45.81,0.284,-0.922,9.718,0.232,-0.003,0.023,-9.788,0.290,0.219,-0.063,0.063,-0.046,0.000,0.000,0.000,0.00,24.9,OK
1787113074.879,DIVING,0,339.00,21.61,-0.13,-0.23,1500,1500,0.00,-1.735,-1.635,45.81,0.226,0.490,9.787,-0.056,0.064,0.063,-9.836,0.289,0.181,-0.048,0.064,-0.081,0.000,0.000,0.000,0.00,24.9,OK
1787113074.929,DIVING,0,339.00,21.61,-0.13,-0.23,1500,1500,0.00,-1.735,-1.635,45.81,0.226,0.490,9.787,-0.056,0.064,0.063,-9.907,0.308,0.112,0.000,0.059,-0.101,0.000,0.000,0.000,0.00,24.9,OK
1787113074.978,DIVING,0,339.00,21.61,-0.13,-0.23,1500,1500,0.00,-1.642,-1.488,42.49,0.226,0.490,9.787,-0.056,0.064,0.063,-9.991,0.225,0.147,0.012,0.047,-0.086,0.000,0.000,0.000,0.00,24.9,OK
1787113075.028,DIVING,0,339.00,21.61,-0.13,-0.23,1500,1500,0.00,-1.642,-1.488,42.49,0.226,0.490,9.787,-0.056,0.064,0.063,-9.945,0.283,0.080,0.011,0.035,-0.089,0.000,0.000,0.000,0.00,15.0,OK
1787113075.078,DIVING,0,339.00,21.61,-0.13,-0.23,1500,1500,0.00,-1.642,-1.488,42.49,0.226,0.490,9.787,-0.056,0.064,0.063,-9.886,0.119,0.124,0.021,0.021,-0.065,0.000,0.000,0.000,0.00,15.0,OK
