timestamp,state,wp_idx,heading_deg,target_heading_deg,rel_alt,vfr_alt,fwd_pwm,yaw_pwm,duration_left,zed_x,zed_y,zed_yaw_deg,cube_ax,cube_ay,cube_az,cube_gx,cube_gy,cube_gz,zed_ax,zed_ay,zed_az,zed_gx,zed_gy,zed_gz,ekf_x,ekf_y,ekf_z,ekf_yaw_deg,zed_fps,zed_diag
1787113703.127,ARMING,0,78.00,21.61,-0.09,-0.23,1500,1500,0.00,5.045,-4.913,-47.39,0.245,-1.726,9.640,0.015,-0.008,0.038,-9.632,-1.758,0.339,-0.033,-0.008,0.012,0.000,0.000,0.000,0.00,7.6,OK
1787113703.177,DIVING,0,78.00,21.61,-0.09,-0.23,1500,1500,0.00,5.045,-4.910,-47.06,0.245,-1.726,9.640,0.015,-0.008,0.038,-9.632,-1.750,0.343,-0.032,-0.005,0.009,0.000,0.000,0.000,0.00,7.6,OK
1787113703.227,DIVING,0,78.00,21.61,-0.09,-0.23,1500,1500,0.00,5.044,-4.902,-46.89,0.245,-1.726,9.640,0.015,-0.008,0.038,-9.630,-1.746,0.346,-0.035,-0.007,0.011,0.000,0.000,0.000,0.00,7.6,OK
1787113703.277,DIVING,0,78.00,21.61,-0.09,-0.23,1500,1500,0.00,5.047,-4.903,-46.30,0.245,-1.726,9.640,0.015,-0.008,0.038,-9.640,-1.741,0.341,-0.033,-0.008,0.011,0.000,0.000,0.000,0.00,7.6,OK
1787113703.328,DIVING,0,78.00,21.61,-0.09,-0.23,1500,1500,0.00,5.051,-4.903,-45.90,0.245,-1.726,9.640,0.015,-0.008,0.038,-9.644,-1.727,0.348,-0.033,-0.006,0.007,0.000,0.000,0.000,0.00,7.6,OK
1787113703.377,DIVING,0,78.00,21.61,-0.09,-0.23,1500,1500,0.00,5.051,-4.903,-45.90,0.245,-1.687,9.650,0.008,-0.006,0.038,-9.623,-1.726,0.336,-0.033,-0.008,0.004,0.000,0.000,0.000,0.00,7.6,OK
1787113703.427,DIVING,0,78.00,21.61,-0.09,-0.23,1500,1500,0.00,5.058,-4.903,-45.90,0.245,-1.687,9.650,0.008,-0.006,0.038,-9.654,-1.734,0.327,-0.034,-0.006,0.002,0.000,0.000,0.000,0.00,7.6,OK
1787113703.477,DIVING,0,78.00,21.61,-0.09,-0.23,1500,1500,0.00,5.061,-4.902,-45.85,0.245,-1.687,9.650,0.008,-0.006,0.038,-9.634,-1.741,0.341,-0.033,-0.007,-0.000,0.000,0.000,0.000,0.00,7.6,OK
1787113703.527,DIVING,0,78.00,21.61,-0.09,-0.23,1500,1500,0.00,5.067,-4.900,-46.01,0.245,-1.687,9.650,0.008,-0.006,0.038,-9.637,-1.738,0.343,-0.031,-0.002,-0.001,0.000,0.000,0.000,0.00,7.6,OK
1787113703.577,DIVING,0,78.00,21.61,-0.09,-0.23,1500,1500,0.00,5.067,-4.900,-46.01,0.245,-1.687,9.650,0.008,-0.006,0.038,-9.642,-1.736,0.346,-0.033,-0.009,-0.003,0.000,0.000,0.000,0.00,7.6,OK
