timestamp,state,wp_idx,heading_deg,target_heading_deg,rel_alt,vfr_alt,fwd_pwm,yaw_pwm,duration_left,zed_x,zed_y,zed_yaw_deg,cube_ax,cube_ay,cube_az,cube_gx,cube_gy,cube_gz,zed_ax,zed_ay,zed_az,zed_gx,zed_gy,zed_gz,ekf_x,ekf_y,ekf_z,ekf_yaw_deg,zed_fps,zed_diag
1787112740.776,WAITING_FOR_PATH,0,341.00,0.00,-0.10,-0.23,1500,1500,0.00,0.000,0.000,0.00,0.235,-1.677,9.650,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.0,OK
1787112740.826,WAITING_FOR_PATH,0,341.00,0.00,-0.10,-0.23,1500,1500,0.00,0.000,0.000,0.00,0.235,-1.677,9.650,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.0,OK
1787112740.876,WAITING_FOR_PATH,0,341.00,0.00,-0.10,-0.23,1500,1500,0.00,0.000,0.000,0.00,0.235,-1.677,9.650,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.0,OK
1787112740.926,WAITING_FOR_PATH,0,341.00,0.00,-0.10,-0.23,1500,1500,0.00,0.000,0.000,0.00,0.235,-1.677,9.650,0.000,0.000,-0.001,-9.652,-1.737,0.334,0.001,0.000,0.000,0.000,0.000,0.000,0.00,0.0,OK
1787112740.976,WAITING_FOR_PATH,0,341.00,0.00,-0.10,-0.23,1500,1500,0.00,0.740,-2.238,177.25,0.235,-1.677,9.650,0.000,0.000,-0.001,-9.640,-1.742,0.334,0.002,0.002,0.003,0.000,0.000,0.000,0.00,0.0,OK
1787112741.026,WAITING_FOR_PATH,0,341.00,0.00,-0.09,-0.23,1500,1500,0.00,0.740,-2.238,177.25,0.255,-1.667,9.650,-0.000,-0.000,-0.000,-9.626,-1.737,0.336,0.002,0.000,0.000,0.000,0.000,0.000,0.00,0.0,OK
1787112741.076,WAITING_FOR_PATH,0,341.00,0.00,-0.09,-0.23,1500,1500,0.00,0.740,-2.238,177.25,0.255,-1.667,9.650,-0.000,-0.000,-0.000,-9.650,-1.739,0.341,0.000,0.002,-0.000,0.000,0.000,0.000,0.00,0.0,OK
1787112741.126,WAITING_FOR_PATH,0,341.00,0.00,-0.09,-0.23,1500,1500,0.00,0.740,-2.238,177.25,0.255,-1.667,9.650,-0.000,-0.000,-0.000,-9.642,-1.746,0.343,-0.001,0.000,0.002,0.000,0.000,0.000,0.00,0.0,OK
1787112741.176,WAITING_FOR_PATH,0,341.00,0.00,-0.09,-0.23,1500,1500,0.00,0.740,-2.238,177.25,0.255,-1.667,9.650,-0.000,-0.000,-0.000,-9.616,-1.732,0.339,0.001,0.002,-0.001,0.000,0.000,0.000,0.00,0.0,OK
1787112741.226,WAITING_FOR_PATH,0,341.00,0.00,-0.09,-0.23,1500,1500,0.00,0.740,-2.238,177.25,0.255,-1.667,9.650,-0.000,-0.000,-0.000,-9.633,-1.741,0.336,0.000,0.001,0.000,0.000,0.000,0.000,0.00,4.8,OK
1787112741.276,WAITING_FOR_PATH,0,341.00,0.00,-0.09,-0.23,1500,1500,0.00,0.740,-2.238,177.25,0.235,-1.677,9.650,0.000,0.000,-0.000,-9.614,-1.744,0.336,-0.001,0.002,-0.000,0.000,0.000,0.000,0.00,4.8,OK
1787112741.326,WAITING_FOR_PATH,0,341.00,0.00,-0.09,-0.23,1500,1500,0.00,0.740,-2.238,177.25,0.235,-1.677,9.650,0.000,0.000,-0.000,-9.633,-1.744,0.336,0.002,0.000,0.002,0.000,0.000,0.000,0.00,4.8,OK
1787112741.376,WAITING_FOR_PATH,0,341.00,0.00,-0.09,-0.23,1500,1500,0.00,0.728,-2.276,175.29,0.235,-1.677,9.650,0.000,0.000,-0.000,-9.635,-1.746,0.334,0.000,0.001,-0.000,0.000,0.000,0.000,0.00,4.8,OK
1787112741.426,WAITING_FOR_PATH,0,341.00,0.00,-0.09,-0.23,1500,1500,0.00,0.728,-2.277,175.20,0.235,-1.677,9.650,0.000,0.000,-0.000,-9.618,-1.732,0.334,0.001,0.001,-0.002,0.000,0.000,0.000,0.00,4.8,OK
1787112741.476,WAITING_FOR_PATH,0,341.00,0.00,-0.09,-0.23,1500,1500,0.00,0.733,-2.279,175.22,0.235,-1.677,9.650,0.000,0.000,-0.000,-9.635,-1.737,0.329,0.001,-0.004,0.001,0.000,0.000,0.000,0.00,4.8,OK
1787112741.526,WAITING_FOR_PATH,0,341.00,0.00,-0.10,-0.23,1500,1500,0.00,0.734,-2.275,175.40,0.235,-1.677,9.650,0.000,-0.001,0.000,-9.642,-1.730,0.339,-0.001,-0.000,0.001,0.000,0.000,0.000,0.00,4.8,OK
1787112741.576,WAITING_FOR_PATH,0,341.00,0.00,-0.10,-0.23,1500,1500,0.00,0.734,-2.275,175.40,0.235,-1.677,9.650,0.000,-0.001,0.000,-9.630,-1.737,0.329,0.000,-0.001,0.001,0.000,0.000,0.000,0.00,4.8,OK
1787112741.626,WAITING_FOR_PATH,0,341.00,0.00,-0.10,-0.23,1500,1500,0.00,0.746,-2.206,176.63,0.235,-1.677,9.650,0.000,-0.001,0.000,-9.638,-1.739,0.331,0.001,0.000,-0.000,0.000,0.000,0.000,0.00,4.8,OK
