Time(s),RelAlt(m),Compass_Hdg(deg),EKF_X,EKF_Y,EKF_Z,ZED_X,ZED_Y,ZED_Z,IMU_AccX,IMU_AccY,IMU_AccZ
1787035542.44,-0.01,347.28,-0.05,-0.33,-0.01,-0.06,0.07,0.03,0.10,-0.82,9.77
1787035542.54,-0.01,347.28,-0.05,-0.33,-0.01,-0.06,0.07,0.03,0.10,-0.82,9.77
1787035542.64,-0.00,324.39,0.09,-0.29,-0.01,-0.06,0.07,0.03,-0.03,-0.66,9.87
1787035542.74,-0.00,324.39,0.09,-0.29,-0.01,-0.06,0.07,0.02,-0.03,-0.66,9.87
1787035542.84,-0.00,320.19,0.19,-0.27,-0.01,-0.06,0.07,0.02,-0.36,-0.55,9.84
1787035542.94,-0.00,320.19,0.19,-0.27,-0.01,-0.06,0.08,0.02,-0.36,-0.55,9.84
1787035543.04,-0.00,320.19,0.19,-0.27,-0.01,-0.06,0.08,0.02,-0.36,-0.55,9.84
1787035543.14,-0.00,320.19,0.19,-0.27,-0.01,-0.06,0.08,0.02,-0.36,-0.55,9.84
1787035543.24,-0.00,320.19,0.19,-0.27,-0.01,-0.06,0.08,0.02,-0.36,-0.55,9.84
1787035543.34,-0.00,320.19,0.19,-0.27,-0.01,-0.06,0.07,0.03,-0.36,-0.55,9.84
1787035543.44,-0.00,320.19,0.19,-0.27,-0.01,-0.06,0.07,0.03,-0.36,-0.55,9.84
1787035543.54,-0.00,320.19,0.19,-0.27,-0.01,-0.07,0.07,0.02,-0.36,-0.55,9.84
1787035543.64,-0.00,320.19,0.19,-0.27,-0.01,-0.07,0.07,0.02,-0.36,-0.55,9.84
1787035543.74,-0.00,320.19,0.19,-0.27,-0.01,-0.07,0.07,0.02,-0.36,-0.55,9.84
1787035543.84,-0.01,304.73,0.41,-0.14,-0.00,-0.07,0.08,0.02,-0.23,-0.61,9.79
1787035543.94,-0.01,304.73,0.41,-0.14,-0.00,-0.08,0.08,0.02,-0.23,-0.61,9.79
1787035544.04,-0.01,304.73,0.41,-0.14,-0.00,-0.09,0.08,0.03,-0.23,-0.61,9.79
1787035544.14,-0.01,304.73,0.41,-0.14,-0.00,-0.07,0.08,0.03,-0.23,-0.61,9.79
1787035544.24,-0.01,304.73,0.41,-0.14,-0.00,-0.06,0.09,0.04,-0.23,-0.61,9.79
1787035544.34,-0.01,304.73,0.41,-0.14,-0.00,-0.07,0.09,0.04,-0.23,-0.61,9.79
1787035544.44,-0.01,304.73,0.41,-0.14,-0.00,-0.07,0.09,0.04,-0.23,-0.61,9.79
1787035544.54,-0.01,304.73,0.41,-0.14,-0.00,-0.08,0.10,0.04,-0.23,-0.61,9.79
1787035544.64,-0.01,304.73,0.41,-0.14,-0.00,-0.09,0.10,0.04,-0.23,-0.61,9.79
1787035544.74,-0.01,304.73,0.41,-0.14,-0.00,-0.09,0.10,0.03,-0.23,-0.61,9.79
1787035544.84,-0.01,294.21,0.38,0.01,-0.00,-0.09,0.09,0.03,-0.22,-0.79,9.78
1787035544.94,-0.01,294.21,0.38,0.01,-0.00,-0.10,0.09,0.03,-0.22,-0.79,9.78
1787035545.04,-0.01,294.21,0.38,0.01,-0.00,-0.10,0.09,0.03,-0.22,-0.79,9.78
1787035545.14,-0.01,294.21,0.38,0.01,-0.00,-0.10,0.08,0.02,-0.22,-0.79,9.78
1787035545.24,-0.01,294.21,0.38,0.01,-0.00,-0.10,0.08,0.02,-0.22,-0.79,9.78
1787035545.34,-0.01,294.21,0.38,0.01,-0.00,-0.10,0.07,0.02,-0.22,-0.79,9.78
1787035545.44,-0.01,294.21,0.38,0.01,-0.00,-0.10,0.06,0.02,-0.22,-0.79,9.78
1787035545.54,-0.01,294.21,0.38,0.01,-0.00,-0.11,0.05,0.02,-0.22,-0.79,9.78
1787035545.64,-0.01,294.21,0.38,0.01,-0.00,-0.11,0.05,0.02,-0.22,-0.79,9.78
1787035545.74,-0.01,294.21,0.38,0.01,-0.00,-0.11,0.04,0.02,-0.22,-0.79,9.78
1787035545.84,-0.01,290.47,0.29,0.04,-0.00,-0.11,0.04,0.02,-0.10,-0.92,9.74
1787035545.94,-0.01,290.47,0.29,0.04,-0.00,-0.11,0.04,0.02,-0.10,-0.92,9.74
1787035546.04,-0.01,290.47,0.29,0.04,-0.00,-0.11,0.03,0.02,-0.10,-0.92,9.74
1787035546.14,-0.01,290.47,0.29,0.04,-0.00,-0.11,0.03,0.02,-0.10,-0.92,9.74
1787035546.24,-0.01,290.47,0.29,0.04,-0.00,-0.11,0.03,0.02,-0.10,-0.92,9.74
1787035546.34,-0.01,290.47,0.29,0.04,-0.00,-0.10,0.03,0.02,-0.10,-0.92,9.74
1787035546.44,-0.01,290.47,0.29,0.04,-0.00,-0.10,0.02,0.02,-0.10,-0.92,9.74
1787035546.54,-0.01,290.47,0.29,0.04,-0.00,-0.10,0.03,0.02,-0.10,-0.92,9.74
1787035546.64,-0.00,285.58,0.27,-0.03,-0.00,-0.10,0.02,0.02,-0.40,-0.78,9.67
1787035546.74,-0.00,285.58,0.27,-0.03,-0.00,-0.10,0.02,0.02,-0.40,-0.78,9.67
1787035546.84,-0.01,283.95,0.27,-0.05,0.00,-0.10,0.02,0.02,-0.33,-1.08,9.73
1787035546.94,-0.01,283.95,0.27,-0.05,0.00,-0.10,0.02,0.02,-0.33,-1.08,9.73
