Time(s),RelAlt(m),Compass_Hdg(deg),EKF_X,EKF_Y,EKF_Z,ZED_X,ZED_Y,ZED_Z,IMU_AccX,IMU_AccY,IMU_AccZ
1787035561.04,-0.00,300.86,0.40,0.05,0.00,0.11,0.10,-0.11,0.35,0.15,9.60
1787035561.14,-0.00,302.70,0.41,0.07,0.00,0.03,0.09,-0.12,0.24,-1.10,10.29
1787035561.24,-0.00,302.70,0.41,0.07,0.00,0.03,0.09,-0.12,0.24,-1.10,10.29
1787035561.34,-0.00,307.08,0.40,0.06,0.00,0.17,0.08,-0.13,0.72,0.10,9.62
1787035561.44,-0.00,307.08,0.40,0.06,0.00,0.20,0.09,-0.13,0.72,0.10,9.62
1787035561.54,-0.00,307.08,0.40,0.06,0.00,0.23,0.09,-0.12,0.72,0.10,9.62
1787035561.64,-0.01,310.03,0.39,0.03,-0.01,0.23,0.08,-0.07,0.89,-0.44,9.19
1787035561.74,-0.01,310.03,0.39,0.03,-0.01,0.26,0.09,-0.08,0.89,-0.44,9.19
1787035561.84,-0.01,310.55,0.39,0.00,-0.01,0.26,0.09,-0.08,0.96,-0.76,9.81
1787035561.94,-0.01,310.55,0.39,0.00,-0.01,0.27,0.10,-0.11,0.96,-0.76,9.81
1787035562.04,-0.01,310.55,0.39,0.00,-0.01,0.27,0.10,-0.12,0.96,-0.76,9.81
1787035562.14,-0.01,313.31,0.38,-0.03,-0.01,0.33,0.12,-0.17,1.05,-0.56,9.84
1787035562.24,-0.01,313.31,0.38,-0.03,-0.01,0.35,0.11,-0.19,1.05,-0.56,9.84
1787035562.34,-0.01,314.32,0.40,-0.04,-0.00,0.37,0.09,-0.21,0.25,-1.25,9.97
1787035562.44,-0.01,314.32,0.40,-0.04,-0.00,0.37,0.09,-0.21,0.25,-1.25,9.97
1787035562.54,-0.01,314.32,0.40,-0.04,-0.00,0.37,0.10,-0.21,0.25,-1.25,9.97
1787035562.64,-0.00,312.89,0.43,-0.06,-0.00,0.38,0.06,-0.21,0.26,0.01,9.83
1787035562.74,-0.00,312.89,0.43,-0.06,-0.00,0.37,0.04,-0.21,0.26,0.01,9.83
1787035562.84,-0.01,314.51,0.47,-0.09,-0.00,0.36,0.04,-0.21,0.39,-0.16,9.76
1787035562.94,-0.01,314.51,0.47,-0.09,-0.00,0.36,0.07,-0.19,0.39,-0.16,9.76
1787035563.04,-0.01,314.51,0.47,-0.09,-0.00,0.36,0.08,-0.18,0.39,-0.16,9.76
1787035563.14,-0.01,317.90,0.52,-0.12,-0.00,0.38,0.07,-0.18,0.36,-0.98,9.42
1787035563.24,-0.01,317.90,0.52,-0.12,-0.00,0.37,0.06,-0.18,0.36,-0.98,9.42
1787035563.34,-0.01,321.26,0.53,-0.14,-0.01,0.37,0.06,-0.18,0.69,-0.36,9.54
1787035563.44,-0.01,321.26,0.53,-0.14,-0.01,0.36,0.06,-0.18,0.69,-0.36,9.54
1787035563.54,-0.01,321.26,0.53,-0.14,-0.01,0.37,0.08,-0.17,0.69,-0.36,9.54
1787035563.64,-0.00,323.69,0.54,-0.17,0.00,0.37,0.08,-0.16,0.44,-0.93,9.88
1787035563.74,-0.00,323.69,0.54,-0.17,0.00,0.38,0.10,-0.16,0.44,-0.93,9.88
1787035563.84,-0.00,323.35,0.54,-0.17,0.00,0.38,0.10,-0.16,0.54,-1.01,9.06
1787035563.94,-0.00,323.35,0.54,-0.17,0.00,0.37,0.10,-0.15,0.54,-1.01,9.06
1787035564.04,-0.00,323.35,0.54,-0.17,0.00,0.37,0.10,-0.15,0.54,-1.01,9.06
1787035564.14,-0.01,323.13,0.52,-0.17,-0.00,0.37,0.09,-0.15,0.33,-0.14,9.55
1787035564.24,-0.01,323.13,0.52,-0.17,-0.00,0.36,0.09,-0.15,0.33,-0.14,9.55
1787035564.34,-0.01,327.14,0.49,-0.17,-0.00,0.36,0.10,-0.14,0.67,-0.03,9.75
1787035564.44,-0.01,327.14,0.49,-0.17,-0.00,0.36,0.10,-0.14,0.67,-0.03,9.75
1787035564.54,-0.01,327.14,0.49,-0.17,-0.00,0.37,0.09,-0.15,0.67,-0.03,9.75
1787035564.64,-0.01,331.52,0.47,-0.18,-0.00,0.37,0.09,-0.15,0.28,-1.07,9.43
1787035564.74,-0.01,331.52,0.47,-0.18,-0.00,0.37,0.09,-0.15,0.28,-1.07,9.43
1787035564.84,-0.01,330.03,0.44,-0.18,-0.00,0.37,0.09,-0.14,0.71,-0.60,9.64
1787035564.94,-0.01,330.03,0.44,-0.18,-0.00,0.37,0.10,-0.14,0.71,-0.60,9.64
1787035565.04,-0.01,330.03,0.44,-0.18,-0.00,0.37,0.10,-0.14,0.71,-0.60,9.64
1787035565.14,-0.01,328.50,0.41,-0.16,-0.02,0.42,0.12,-0.16,0.82,-0.64,9.71
1787035565.24,-0.01,328.50,0.41,-0.16,-0.02,0.45,0.12,-0.17,0.82,-0.64,9.71
1787035565.34,-0.01,328.22,0.40,-0.16,-0.02,0.50,0.09,-0.17,-0.07,-1.08,9.75
1787035565.44,-0.01,328.22,0.40,-0.16,-0.02,0.50,0.09,-0.17,-0.07,-1.08,9.75
1787035565.54,-0.01,328.22,0.40,-0.16,-0.02,0.50,0.09,-0.18,-0.07,-1.08,9.75
1787035565.64,-0.01,328.89,0.41,-0.17,-0.02,0.50,0.09,-0.18,-0.05,-0.92,10.05
1787035565.74,-0.01,328.89,0.41,-0.17,-0.02,0.45,0.06,-0.18,-0.05,-0.92,10.05
1787035565.84,-0.00,334.02,0.42,-0.19,-0.02,0.45,0.07,-0.19,0.71,-0.04,9.89
1787035565.94,-0.00,334.02,0.42,-0.19,-0.02,0.45,0.06,-0.19,0.71,-0.04,9.89
1787035566.04,-0.00,334.02,0.42,-0.19,-0.02,0.45,0.06,-0.19,0.71,-0.04,9.89
1787035566.14,-0.00,337.13,0.44,-0.24,-0.02,0.45,0.06,-0.19,-0.16,-1.66,9.17
1787035566.24,-0.00,337.13,0.44,-0.24,-0.02,0.45,0.07,-0.19,-0.16,-1.66,9.17
1787035566.34,-0.01,335.36,0.46,-0.28,-0.01,0.48,0.09,-0.18,-0.09,-1.24,9.90
1787035566.44,-0.01,335.36,0.46,-0.28,-0.01,0.49,0.10,-0.18,-0.09,-1.24,9.90
1787035566.54,-0.01,335.36,0.46,-0.28,-0.01,0.50,0.12,-0.18,-0.09,-1.24,9.90
1787035566.64,-0.01,332.23,0.47,-0.29,0.01,0.50,0.12,-0.18,0.17,-0.78,9.78
1787035566.74,-0.01,332.23,0.47,-0.29,0.01,0.50,0.12,-0.18,0.17,-0.78,9.78
1787035566.84,-0.00,338.17,0.47,-0.29,-0.00,0.50,0.12,-0.18,-0.10,0.01,9.50
1787035566.94,-0.00,338.17,0.47,-0.29,-0.00,0.45,0.16,-0.17,-0.10,0.01,9.50
1787035567.04,-0.00,338.17,0.47,-0.29,-0.00,0.30,0.36,-0.23,-0.10,0.01,9.50
1787035567.14,-0.01,342.55,0.48,-0.31,-0.00,0.30,0.36,-0.23,-0.96,-1.26,10.69
1787035567.24,-0.01,342.55,0.48,-0.31,-0.00,0.30,0.36,-0.23,-0.96,-1.26,10.69
1787035567.34,-0.01,350.58,0.48,-0.29,0.01,0.31,0.33,-0.22,0.35,-0.46,10.16
1787035567.44,-0.01,350.58,0.48,-0.29,0.01,0.32,0.30,-0.20,0.35,-0.46,10.16
1787035567.54,-0.01,350.58,0.48,-0.29,0.01,0.30,0.31,-0.20,0.35,-0.46,10.16
1787035567.64,-0.01,353.19,0.46,-0.22,0.01,0.29,0.31,-0.21,0.69,-1.27,9.43
1787035567.74,-0.01,353.19,0.46,-0.22,0.01,0.29,0.31,-0.21,0.69,-1.27,9.43
1787035567.84,-0.01,354.77,0.43,-0.18,0.01,0.44,0.19,-0.16,-0.09,-0.91,9.14
1787035567.94,-0.01,354.77,0.43,-0.18,0.01,0.44,0.19,-0.15,-0.09,-0.91,9.14
1787035568.04,-0.01,354.77,0.43,-0.18,0.01,0.44,0.19,-0.15,-0.09,-0.91,9.14
1787035568.14,-0.00,359.09,0.38,-0.18,-0.00,0.43,0.18,-0.16,-0.14,-0.13,9.39
1787035568.24,-0.00,359.09,0.38,-0.18,-0.00,0.43,0.18,-0.15,-0.14,-0.13,9.39
1787035568.34,-0.00,3.85,0.35,-0.23,-0.01,0.44,0.12,-0.14,0.00,-0.89,9.91
1787035568.44,-0.00,3.85,0.35,-0.23,-0.01,0.43,0.11,-0.15,0.00,-0.89,9.91
1787035568.54,-0.00,3.85,0.35,-0.23,-0.01,0.43,0.08,-0.16,0.00,-0.89,9.91
1787035568.64,-0.00,7.47,0.32,-0.29,-0.01,0.43,0.08,-0.16,0.00,-0.89,9.91
1787035568.74,-0.00,7.47,0.32,-0.29,-0.01,0.43,0.08,-0.17,0.00,-0.89,9.91
1787035568.84,-0.01,8.86,0.27,-0.34,-0.01,0.43,0.09,-0.17,-0.05,-0.38,9.78
1787035568.94,-0.01,8.86,0.27,-0.34,-0.01,0.43,0.10,-0.17,-0.05,-0.38,9.78
1787035569.04,-0.01,8.86,0.27,-0.34,-0.01,0.43,0.10,-0.16,-0.05,-0.38,9.78
1787035569.14,-0.00,8.24,0.22,-0.37,-0.01,0.43,0.11,-0.16,-0.12,-1.00,9.82
1787035569.24,-0.00,8.24,0.22,-0.37,-0.01,0.43,0.11,-0.16,-0.12,-1.00,9.82
1787035569.34,-0.01,9.82,0.18,-0.38,-0.01,0.43,0.12,-0.16,0.05,-0.57,9.65
1787035569.44,-0.01,9.82,0.18,-0.38,-0.01,0.43,0.12,-0.16,0.05,-0.57,9.65
1787035569.54,-0.01,9.82,0.18,-0.38,-0.01,0.44,0.12,-0.17,0.05,-0.57,9.65
1787035569.64,-0.01,11.09,0.15,-0.37,-0.01,0.44,0.12,-0.17,-0.11,-0.84,9.82
1787035569.74,-0.01,11.09,0.15,-0.37,-0.01,0.44,0.13,-0.16,-0.11,-0.84,9.82
1787035569.84,-0.00,12.16,0.13,-0.35,-0.01,0.44,0.13,-0.16,-0.12,-0.89,9.78
1787035569.94,-0.00,12.16,0.13,-0.35,-0.01,0.45,0.13,-0.16,-0.12,-0.89,9.78
1787035570.04,-0.00,12.16,0.13,-0.35,-0.01,0.45,0.13,-0.15,-0.12,-0.89,9.78
1787035570.14,-0.01,13.89,0.12,-0.32,-0.01,0.45,0.14,-0.15,0.09,-1.27,9.81
1787035570.24,-0.01,13.89,0.12,-0.32,-0.01,0.45,0.14,-0.15,0.09,-1.27,9.81
1787035570.34,-0.00,15.25,0.11,-0.29,-0.00,0.45,0.15,-0.15,0.11,-0.99,9.78
1787035570.44,-0.00,15.25,0.11,-0.29,-0.00,0.45,0.15,-0.15,0.11,-0.99,9.78
1787035570.54,-0.00,15.25,0.11,-0.29,-0.00,0.45,0.15,-0.16,0.11,-0.99,9.78
1787035570.64,-0.01,16.69,0.11,-0.26,-0.00,0.45,0.15,-0.16,0.16,-1.19,9.74
1787035570.74,-0.01,16.69,0.11,-0.26,-0.00,0.45,0.15,-0.15,0.16,-1.19,9.74
1787035570.84,-0.00,18.47,0.11,-0.23,-0.00,0.45,0.15,-0.15,0.18,-1.06,9.78
1787035570.94,-0.00,18.47,0.11,-0.23,-0.00,0.45,0.15,-0.15,0.18,-1.06,9.78
1787035571.04,-0.00,18.47,0.11,-0.23,-0.00,0.45,0.15,-0.15,0.18,-1.06,9.78
1787035571.14,-0.01,20.24,0.11,-0.21,-0.00,0.45,0.16,-0.16,0.24,-1.01,9.74
1787035571.24,-0.01,20.24,0.11,-0.21,-0.00,0.45,0.16,-0.16,0.24,-1.01,9.74
1787035571.34,-0.01,21.98,0.11,-0.18,0.00,0.45,0.16,-0.16,0.08,-1.02,9.77
1787035571.44,-0.01,21.98,0.11,-0.18,0.00,0.45,0.16,-0.16,0.08,-1.02,9.77
1787035571.54,-0.01,21.98,0.11,-0.18,0.00,0.45,0.16,-0.16,0.08,-1.02,9.77
1787035571.64,-0.01,23.85,0.11,-0.17,0.00,0.45,0.16,-0.16,0.08,-1.09,9.75
1787035571.74,-0.01,23.85,0.11,-0.17,0.00,0.45,0.16,-0.16,0.08,-1.09,9.75
1787035571.84,-0.00,25.78,0.10,-0.16,0.00,0.45,0.16,-0.16,0.08,-1.08,9.74
1787035571.94,-0.00,25.78,0.10,-0.16,0.00,0.44,0.16,-0.16,0.08,-1.08,9.74
1787035572.04,-0.00,25.78,0.10,-0.16,0.00,0.44,0.16,-0.16,0.08,-1.08,9.74
1787035572.14,-0.01,27.57,0.09,-0.16,0.00,0.44,0.16,-0.16,0.09,-1.23,9.69
1787035572.24,-0.01,27.57,0.09,-0.16,0.00,0.44,0.16,-0.16,0.09,-1.23,9.69
1787035572.34,-0.00,29.57,0.08,-0.16,0.00,0.44,0.15,-0.15,0.25,-1.12,9.84
1787035572.44,-0.00,29.57,0.08,-0.16,0.00,0.44,0.15,-0.15,0.25,-1.12,9.84
1787035572.54,-0.00,29.57,0.08,-0.16,0.00,0.44,0.15,-0.15,0.25,-1.12,9.84
1787035572.64,-0.01,31.97,0.06,-0.17,0.00,0.44,0.15,-0.15,0.11,-1.22,9.69
1787035572.74,-0.01,31.97,0.06,-0.17,0.00,0.43,0.15,-0.14,0.11,-1.22,9.69
1787035572.84,-0.00,34.55,0.04,-0.18,0.00,0.43,0.15,-0.14,0.24,-1.34,9.67
1787035572.94,-0.00,34.55,0.04,-0.18,0.00,0.43,0.15,-0.14,0.24,-1.34,9.67
1787035573.04,-0.00,34.55,0.04,-0.18,0.00,0.43,0.15,-0.14,0.24,-1.34,9.67
1787035573.14,-0.01,37.47,0.02,-0.18,-0.00,0.42,0.14,-0.14,0.49,-1.43,9.64
